name,KO/TKO,Submission,Unanimous Decision,Majority Decision,Split Decision,No Contest,Losses,StrikeBonus,5roundBonus,Value,FighterId
Justin Gaethje,600,0,80,75,0,0,100,86,225,,140000247
Dustin Poirier,900,360,480,75,0,0,175,405,300,,140000266
Sean Woodson,100,0,160,0,70,0,25,143,0,,140000495
Dennis Buzukja,0,0,0,0,0,0,25,0,0,,140001016
Alex Pereira,300,0,80,0,70,0,25,98,50,,140001220
Jan Blachowicz,500,180,320,0,70,0,175,310,175,,140000123
CJ Vergara,100,0,80,0,70,0,50,70,0,,140001171
Vinicius Salvador,0,0,0,0,0,0,50,0,0,,140001148
Bobby Green,200,180,480,0,70,0,225,689,25,,140000649
Tony Ferguson,300,540,240,0,70,0,175,355,100,,140000401
Gabriel Bonfim,0,180,0,0,0,0,0,2,0,,140001594
Trevin Giles,300,0,160,0,140,0,125,157,0,,140000353
Michael Chiesa,0,540,400,0,0,0,175,96,50,,140000444
Claudio Ribeiro,100,0,0,0,0,0,50,22,0,,140001530
Derrick Lewis,1400,0,160,0,140,0,225,287,250,,140000173
Marcos Rogerio de Lima,500,180,240,0,0,0,175,160,0,,140000122
Uros Medic,300,0,0,0,0,0,25,76,0,,140000952
Matthew Semelsberger,200,0,240,0,0,0,100,62,0,,140001006
Jake Matthews,100,450,320,0,70,0,150,272,0,,140000628
Darrius Flowers,0,0,0,0,0,0,25,0,0,,140001543
Miranda Maverick,0,180,160,0,0,0,75,137,0,,140000928
Priscila Cachoeira,300,0,80,0,0,0,125,22,0,,140000177
Tom Aspinall,400,180,0,0,0,0,25,78,75,,140000892
Marcin Tybura,400,0,480,75,0,0,175,133,50,,140000272
Julija Stoliarenko,0,180,0,0,0,0,125,3,0,,140000874
Molly McCann,200,0,320,0,0,0,125,129,0,,140000176
Fares Ziam,0,0,240,75,0,0,50,76,0,,
Jai Herbert,100,0,80,0,0,0,100,15,0,,140000897
Nathaniel Wood,0,270,320,0,0,0,50,225,0,,140000191
Andre Fili,300,0,320,0,210,0,225,100,0,,140000088
Paul Craig,300,540,0,0,0,0,150,91,0,,140000238
Andre Muniz,0,270,160,0,0,0,50,17,0,,140000524
Daniel Marcos,100,0,0,0,70,0,0,30,0,,140001622
Davey Grant,300,90,80,0,70,0,150,165,0,,140000644
Lerone Murphy,200,0,160,0,70,0,0,81,0,,140000599
Josh Culibao,0,90,80,0,70,0,50,41,0,,140000899
Jonny Parsons,100,0,0,0,0,0,0,19,0,,140001288
Danny Roberts,300,90,80,0,140,0,175,54,0,,140000188
Joel Alvarez,200,270,0,0,0,0,50,68,0,,140000100
Marc Diakiese,200,0,400,0,0,0,175,115,0,,140000183
Makhmud Muradov,200,0,160,0,0,0,50,135,0,,140000619
Bryan Barberena,400,90,240,0,70,0,225,290,0,,140000090
Mick Parkin,0,0,80,0,0,0,0,59,0,,140001537
Jamal Pogues,0,0,80,0,0,0,25,0,0,,140000566
Ketlen Vieira,0,90,320,0,210,0,75,3,50,,140000710
Pannie Kianzad,0,0,400,0,0,0,100,171,0,,140000438
Chris Duncan,0,0,80,0,70,0,0,56,0,,140001140
Yanal Ashmouz,100,0,0,0,0,0,25,13,0,,140001681
Bassil Hafez,0,0,0,0,0,0,25,0,0,,140005025
Holly Holm,200,0,400,0,70,50,150,228,250,,140000447
Mayra Bueno Silva,0,360,80,0,0,50,50,39,25,,140000842
Bruna Brasil,0,0,80,0,0,0,25,2,0,,140001619
Shauna Bannon,0,0,0,0,0,0,25,0,0,,140005003
Jafel Filho,0,90,0,0,0,0,25,3,0,,140001625
Daniel Barez,0,0,0,0,0,0,25,0,0,,140001250
Francisco Prado,100,0,0,0,0,0,25,24,0,,140001677
Ottman Azaitar,200,0,0,0,0,0,50,34,0,,140000596
Nazim Sadykhov,0,90,0,0,0,0,0,2,0,,140001525
JunYong Park,0,270,160,75,70,0,50,142,0,,140000587
Albert Duraev,0,0,80,0,70,0,50,34,0,,140001192
Norma Dumont,0,0,400,0,70,0,50,170,25,,140000891
Chelsea Chandler,100,0,0,0,0,0,25,26,0,,140001639
Viktoriia Dudakova,100,0,0,0,0,0,0,1,0,,140001580
Istela Nunes,0,0,0,0,0,0,100,39,0,,140001261
Melquizael Costa,0,0,80,0,0,0,25,62,0,,140001673
Austin Lingo,0,0,160,0,0,0,75,31,0,,140000896
Azat Maksum,0,0,0,0,70,0,0,0,0,,140005006
Tyson Nam,300,0,0,0,0,0,125,41,0,,140000608
Evan Elder,0,0,80,0,0,0,50,38,0,,140001410
Genaro Valdez,0,0,0,0,0,0,75,0,0,,140001244
Ailin Perez,0,0,80,0,0,0,25,49,0,,140001488
Alexander Volkanovski,500,0,560,0,70,0,25,697,175,,140000347
Alexander Munoz,0,0,80,0,0,0,50,7,0,,140000825
Ashlee Evans-Smith,100,0,80,0,70,0,150,86,0,,140000081
Melsik Baghdasaryan,100,0,160,0,0,0,25,86,0,,140001015
Yair Rodriguez,400,90,240,0,140,0,75,261,175,,140000615
Tucker Lutz,0,0,80,0,0,0,75,23,0,,140001036
Carl Deaton,0,0,0,0,0,0,50,0,0,,140001699
Alexandre Pantoja,200,360,160,0,140,0,75,142,25,,140000258
Brandon Moreno,200,270,160,0,70,0,100,161,150,,140000613
Dan Hooker,700,180,160,0,140,0,200,253,50,,140000487
Jalin Turner,300,270,0,0,0,0,100,111,0,,140000056
Robbie Lawler,800,0,320,0,210,0,250,134,225,,140000142
Niko Price,400,180,80,0,0,0,175,58,0,,140000169
Dricus Du Plessis,400,90,80,0,0,0,0,174,0,,140001047
Robert Whittaker,500,0,720,0,70,0,125,421,175,,140000630
Bo Nickal,100,90,0,0,0,0,0,5,0,,140001492
Val Woodburn,0,0,0,0,0,0,25,0,0,,140005015
Vitor Petrino,0,90,80,0,0,0,0,6,0,,140001586
Marcin Prachnio,100,0,160,0,0,0,125,175,0,,140000700
Tatsuro Taira,0,180,160,0,0,0,0,87,0,,140001386
Edgar Chairez,0,0,0,0,0,0,25,0,0,,
Alonzo Menifield,400,180,80,0,0,0,75,98,0,,140000009
Jimmy Crute,200,180,0,0,0,0,100,48,0,,140000066
Denise Gomes,200,0,0,0,0,0,25,56,0,,140001539
Yazmin Jauregui,100,0,80,0,0,0,25,51,0,,140001472
Cameron Saaiman,200,0,0,75,0,0,0,114,0,,140001540
