name,KO/TKO,Submission,Unanimous Decision,Majority Decision,Split Decision,No Contest,Losses,StrikeBonus,5roundBonus
Elise Reed,0,0,160,0,70,0,100,41,0
Roman Kopylov,400,0,0,0,0,0,50,74,0
Josh Fremd,0,90,80,0,0,0,75,44,0
Manel Kape,200,0,160,0,0,0,50,67,0
Felipe dos Santos,0,0,0,0,0,0,25,0,0
Sean Strickland,400,90,560,0,210,0,125,547,150
Israel Adesanya,500,0,560,0,70,0,75,325,300
Tracy Cortez,0,0,320,0,70,0,0,92,0
Jasmine Jasudavicius,0,0,240,0,0,0,50,10,0
Alexander Volkov,600,90,240,0,70,0,100,490,175
Tai Tuivasa,700,0,80,0,0,0,150,94,50
Tyson Pedro,400,180,0,0,0,0,100,50,0
Anton Turkalj,0,0,0,0,0,0,75,0,0
Justin Tafa,400,0,0,0,0,0,75,19,0
Austen Lane,0,0,0,0,0,0,25,0,0
Carlos Ulberg,300,90,80,0,0,0,25,172,0
Da Woon Jung,200,90,80,0,0,0,75,22,0
Jamie Mullarkey,200,0,160,0,70,0,100,104,0
John Makdessi,300,0,480,0,140,0,225,391,0
Nasrat Haqparast,100,0,480,0,0,0,100,240,0
Landon Quinones,0,0,0,0,0,0,25,0,0
Chepe Mariscal,100,0,80,0,0,0,0,20,0
Jack Jenkins,0,0,80,0,70,0,25,37,0
Gabriel Miranda,0,90,0,0,0,0,25,1,0
Shane Young,100,0,80,0,0,0,125,90,0
Charles Radtke,0,0,80,0,0,0,0,0,0
Blood Diamond,0,0,0,0,0,0,75,47,0
Kevin Jousset,0,90,0,0,0,0,0,0,0
Kiefer Crosbie,0,0,0,0,0,0,25,10,0
Ciryl Gane,400,180,240,0,0,0,50,514,175
Serghei Spivac,300,180,80,75,0,0,100,125,50
Manon Fiorot,200,0,320,0,0,0,0,214,0
Rose Namajunas,200,270,160,0,140,0,125,114,200
Benoit Saint Denis,200,180,0,0,0,0,25,99,0
Morgan Charriere,100,0,0,0,0,0,0,17,0
Thiago Moises,0,270,240,0,0,0,125,31,25
Manolo Zecchini,0,0,0,0,0,0,25,0,0
William Gomis,100,0,80,0,70,0,0,48,0
Yanis Ghemmouri,0,0,0,0,0,0,25,0,0
Volkan Oezdemir,300,90,80,0,140,0,150,147,50
Bogdan Guskov,0,0,0,0,0,0,25,0,0
Taylor Lapilus,100,0,240,0,0,0,25,138,0
Caolan Loughran,0,0,0,0,0,0,25,0,0
Nora Cornolle,0,0,80,0,0,0,0,22,0
Ange Loosa,0,0,160,0,0,0,25,63,0
Joselyne Edwards,0,0,160,0,140,0,75,183,0
Rhys McKee,0,0,0,0,0,0,75,0,0
Farid Basharat,0,90,80,0,0,0,0,12,0
Kleydson Rodrigues,100,0,0,0,0,0,50,26,0
Jacqueline Cavalcanti,0,0,80,0,0,0,0,87,0
Zarah Fairn,0,0,0,0,0,0,100,15,0
Max Holloway,900,180,640,0,70,0,175,1240,350
Chan Sung Jung,400,180,80,0,0,0,125,111,250
Anthony Smith,500,360,80,0,70,0,200,95,175
Ryan Spann,300,180,80,0,70,0,100,39,25
Giga Chikadze,300,0,240,0,140,0,25,127,50
Alex Caceres,100,360,560,0,210,0,300,516,25
Erin Blanchfield,0,270,240,0,0,0,0,144,25
Taila Santos,0,90,240,0,0,0,75,74,25
Rinya Nakamura,100,0,80,0,0,0,0,28,0
Fernie Garcia,0,0,0,0,0,0,75,2,0
Waldo Cortes-Acosta,100,0,160,0,0,0,25,122,0
Lukasz Brzeski,0,0,0,0,0,0,75,52,0
Junior Tafa,100,0,0,0,0,0,25,21,0
Parker Porter,100,0,240,0,0,0,100,55,0
Garrett Armfield,100,0,0,0,0,0,25,30,0
Toshiomi Kazama,0,0,0,0,0,0,50,0,0
Michal Oleksiejczuk,600,0,0,0,70,0,100,80,0
Chidi Njokuani,200,0,0,0,0,0,75,18,0
JJ Aldrich,100,0,480,0,70,0,125,109,0
Liang Na,0,0,0,0,0,0,75,0,0
Song Kenan,300,0,160,0,0,0,75,48,0
Rolando Bedoya,0,0,0,0,0,0,50,56,0
Sean O'Malley,600,0,160,0,70,0,25,401,25
Aljamain Sterling,200,360,480,0,140,0,100,595,125
SeungWoo Choi,100,0,240,0,0,0,125,109,0
Jarno Errens,0,0,0,0,0,0,50,0,0
Billy Goff,100,0,0,0,0,0,0,23,0
Yusaku Kinoshita,0,0,0,0,0,0,50,0,0
Zhang Weili,200,180,240,0,70,0,50,335,150
