name,KO/TKO,Submission,Unanimous Decision,Majority Decision,Split Decision,No Contest,Losses,StrikeBonus,5roundBonus
Joanne Wood,100,90,320,0,140,0,200,399,0
Jonathan Martinez,300,0,480,0,0,0,75,183,0
Said Nurmagomedov,200,180,80,0,70,0,50,105,0
Guido Cannetti,100,90,160,0,0,0,150,64,0
Nikita Krylov,400,450,160,0,0,0,175,244,0
Raphael Assuncao,200,90,480,0,210,0,175,251,25
Victor Henry,0,0,80,0,70,0,25,126,0
Tony Gravely,200,0,80,0,70,0,100,40,0
Jared Gooden,100,0,0,0,0,0,100,7,0
Jon Jones,500,540,720,0,70,0,25,683,375
Alexa Grasso,0,180,400,0,70,0,75,174,50
Valentina Shevchenko,400,180,320,0,140,0,75,380,300
Derek Brunson,700,180,400,0,0,0,175,185,125
Viviane Araujo,100,0,320,0,0,0,100,55,25
Julian Marquez,0,270,0,0,0,0,75,41,0
Shavkat Rakhmonov,100,360,0,0,0,0,0,74,0
Geoff Neal,400,90,80,0,70,0,75,100,25
Cody Garbrandt,500,0,240,0,0,0,125,62,125
Trevin Jones,100,0,0,0,0,0,100,2,0
Jessica Penne,0,90,0,0,140,0,125,4,25
Mana Martinez,0,0,0,0,140,0,50,24,0
Augusto Sakai,200,0,80,0,140,0,100,84,50
Erick Gonzalez,0,0,0,0,0,0,75,0,0
Montana De La Rosa,100,270,80,0,0,0,100,57,0
Yohan Lainesse,0,0,0,0,70,0,50,0,0
Jordan Leavitt,200,90,0,0,70,0,50,40,0
Victor Martinez,0,0,0,0,0,0,25,0,0
Joe Solecki,0,180,160,75,0,0,25,59,0
Jordan Wright,100,0,0,0,0,0,125,31,0
Nurullo Aliev,0,0,0,75,0,0,0,13,0
Rafael Alves,0,90,0,0,0,0,75,3,0
William Knight,100,0,160,0,0,0,100,32,0
Lina Lansberg,0,0,320,0,0,0,175,61,25
Alexander Hernandez,300,0,240,0,0,0,125,104,0
Khusein Askhabov,0,0,0,0,0,0,25,0,0
Ovince Saint Preux,600,450,80,75,70,0,300,97,125
Islam Makhachev,200,540,400,0,0,0,25,170,100
Clayton Carpenter,0,90,0,0,0,0,0,2,0
Juancamilo Ronderos,0,0,0,0,0,0,50,2,0
Loma Lookboonmee,0,90,240,0,70,0,50,157,0
Don Shainis,0,0,0,0,0,0,50,0,0
Zubaira Tukhugov,200,0,160,0,70,0,75,66,0
Anshul Jubli,100,0,0,0,0,0,0,24,0
Jeka Saragih,0,0,0,0,0,0,25,0,0
JeongYeong Lee,0,0,0,0,70,0,0,1,0
Yizha,0,0,0,0,0,0,25,0,0
HyunSung Park,0,90,0,0,0,0,0,18,0
SeungGuk Choi,0,0,0,0,0,0,25,0,0
Deiveson Figueiredo,400,270,160,0,70,0,75,61,150
Jamahal Hill,400,0,160,0,0,0,25,295,75
Glover Teixeira,500,630,160,0,70,0,175,224,250
Lauren Murphy,200,90,160,0,210,0,150,84,25
Mauricio Rua,800,0,80,0,140,0,300,213,225
Shamil Abdurakhimov,200,0,160,0,70,0,150,59,25
Mounir Lazzez,0,0,160,0,0,0,50,84,0
Warlley Alves,200,270,160,0,0,0,150,98,0
Saimon Oliveira,0,0,0,0,0,0,50,0,0
Nassourdine Imavov,200,0,160,0,0,0,50,104,25
Josiane Nunes,100,0,160,0,0,0,0,63,0
Umar Nurmagomedov,100,180,80,0,0,0,0,130,0
Punahele Soriano,300,0,0,0,0,0,75,48,0
Raquel Pennington,0,270,480,0,210,0,125,257,25
Abdul Razak Alhassan,600,0,0,0,0,0,125,26,0
Allan Nascimento,0,90,80,0,0,0,25,21,0
Javid Basharat,0,0,240,0,0,0,0,140,0
Mateus Mendonca,0,0,0,0,0,0,25,0,0
Nick Aguirre,0,0,0,0,0,0,25,0,0
Saidyokub Kakhramonov,0,90,80,0,0,0,25,45,0
Cory McKenna,0,90,160,0,0,0,25,0,0
Cheyanne Vlismas,100,0,80,0,0,0,50,87,0
Sergey Morozov,0,0,240,0,0,0,50,26,0
Paddy Pimblett,100,180,80,0,0,0,0,26,0
Jared Gordon,100,0,400,0,70,0,125,338,0
Jay Perrin,0,0,0,0,0,0,75,17,0
Darren Till,200,0,240,0,70,0,125,39,150
Dalcha Lungiambula,100,0,80,0,0,0,125,48,0
Erik Silva,0,0,0,0,0,0,25,0,0
Matt Schnell,0,270,80,0,140,0,125,55,0
Steven Koslow,0,0,0,0,0,0,25,0,0
Stephen Thompson,600,0,480,0,0,0,150,405,200
Jack Hermansson,300,270,320,0,0,0,150,335,100
Kyle Daukaus,0,90,80,0,0,0,100,33,0
Scott Holtzman,100,90,320,0,0,0,150,207,0
Natan Levy,0,0,160,0,0,0,25,30,0
Jonathan Pearce,200,90,160,0,0,0,25,136,0
Darren Elkins,400,180,720,0,140,0,250,251,0
Marcelo Rojo,0,0,0,0,0,0,75,8,0
Ricky Turcios,0,0,0,0,140,0,25,61,0
Kevin Natividad,0,0,0,0,0,0,75,0,0
Vince Morales,100,0,160,0,0,0,125,67,0
Michael Chandler,200,0,0,0,0,0,75,27,25
Frankie Edgar,400,180,800,0,70,0,275,586,350
Carla Esparza,100,90,320,75,210,0,125,76,100
Claudio Puelles,0,270,160,0,0,0,50,25,0
Renato Moicano,0,540,80,0,140,0,125,182,50
Brad Riddell,0,0,240,0,70,0,75,98,0
Dominick Reyes,300,90,80,0,70,0,100,120,100
Silvana Gomez Juarez,100,0,0,0,0,0,75,13,0
Michael Trizano,100,0,80,0,140,0,75,58,0
Nicolae Negumereanu,200,0,0,0,140,0,50,17,0
Julio Arce,200,90,160,0,0,0,100,183,0
Darrick Minner,0,90,80,0,0,0,100,45,0
Benito Lopez,0,0,160,0,0,0,50,0,0
Tagir Ulanbekov,0,90,80,0,70,0,25,11,0
Nate Maness,100,90,80,0,0,0,50,0,0
Mark Madsen,100,0,160,0,70,0,25,48,0
Shanna Young,100,0,0,0,0,0,75,1,0
Carlos Candelario,0,0,0,0,0,0,50,0,0
Liudvik Sholinian,0,0,0,0,0,0,50,0,0
Calvin Kattar,400,0,240,0,0,0,125,76,125
Ramona Pascual,0,0,0,0,0,0,75,0,0
Jared Vanderaa,0,0,80,0,0,0,150,60,0
Tresean Gore,0,90,0,0,0,0,50,0,0
Joshua Weems,0,0,0,0,0,0,25,9,0
Carlos Mota,0,0,0,0,0,0,25,0,0
TJ Dillashaw,700,90,320,0,70,0,125,472,225
Sean Brady,0,180,240,0,0,0,25,56,0
Katlyn Cerminara,0,0,720,0,140,0,125,166,25
Gadzhi Omargadzhiev,0,0,0,0,0,0,50,0,0
Brandon Davis,0,90,80,0,0,0,175,73,0
Misha Cirkunov,100,450,0,0,0,0,175,89,0
Nick Maximov,0,0,80,0,70,0,50,3,0
Pete Rodriguez,100,0,0,0,0,0,25,12,0
Mike Jackson,0,0,0,0,0,0,50,1,0
Francisco Trinaldo,400,180,720,0,140,0,200,292,0
Sodiq Yusuff,200,90,240,0,0,0,25,103,0
Mike Davis,100,0,160,0,0,0,25,53,0
Aleksei Oleinik,100,630,0,0,70,0,200,72,75
Jesse Ronson,0,0,0,0,0,0,125,19,0
Krzysztof Jotko,100,0,560,0,210,0,150,243,0
Randy Costa,200,0,0,0,0,0,100,29,0
Alen Amedovski,0,0,0,0,0,0,100,0,0
Louis Cosce,0,0,0,0,0,0,50,0,0
Mariya Agapova,0,180,0,0,0,0,75,84,0
Khamzat Chimaev,200,270,80,0,0,0,0,111,25
Cameron VanCamp,0,0,0,0,0,0,50,2,0
Nate Diaz,200,900,240,0,70,0,275,504,175
Li Jingliang,800,0,160,0,70,0,150,244,0
Macy Chiasson,200,90,160,0,70,0,75,124,0
Chris Barnett,200,0,0,0,0,0,50,11,0
Danyelle Wolf,0,0,0,0,0,0,25,0,0
Melissa Martinez,0,0,0,0,0,0,25,7,0
Alatengheili,100,0,160,0,70,0,25,17,0
Chad Anheliger,100,0,0,0,0,0,25,3,0
Darian Weeks,0,0,0,0,0,0,75,31,0
Alessio Di Chirico,200,0,0,0,140,0,175,36,0
Dustin Stoltzfus,0,0,80,0,0,0,100,19,0
Khalid Taha,100,0,0,0,0,0,100,5,0
Michal Figlak,0,0,0,0,0,0,25,0,0
Wu Yanan,0,90,0,0,0,0,125,31,0
Harry Hunsucker,0,0,0,0,0,0,75,0,0
Paulo Costa,400,0,160,0,0,0,50,87,50
Luke Rockhold,300,270,0,0,0,0,125,136,200
Leonardo Santos,200,180,160,0,70,0,75,71,0
Jose Aldo,400,0,720,0,0,0,175,162,325
Francisco Figueiredo,0,90,80,0,0,0,50,1,0
Dominick Cruz,100,0,320,0,140,0,75,215,175
Nina Nunes,0,90,240,0,70,0,100,158,0
Gabriel Benitez,300,180,160,0,0,0,150,153,0
Charlie Ontiveros,0,0,0,0,0,0,75,0,0
Jason Witt,0,90,0,75,0,0,100,20,0
Thiago Santos,1100,0,240,0,0,0,250,376,175
Sam Alvey,500,90,160,0,140,0,325,91,0
Miranda Granger,0,0,80,0,0,0,75,13,0
Julianna Pena,200,180,240,0,0,0,75,142,75
Alex Perez,200,180,160,0,0,0,75,119,25
Magomed Ankalaev,500,0,320,0,0,0,25,172,25
Drakkar Klose,100,0,400,0,70,0,50,156,0
Alexander Gustafsson,500,180,240,0,0,0,200,230,175
Mason Jones,0,0,80,0,0,0,50,9,0
Charles Rosa,0,180,80,0,140,0,200,72,0
Damir Hadzovic,200,0,80,0,70,0,125,80,0
Brian Ortega,300,270,80,0,0,0,75,67,125
Sumudaerji,100,0,160,0,0,0,50,112,0
Shane Burgos,200,90,240,75,70,0,75,190,0
Miesha Tate,100,90,240,75,0,0,150,99,100
Claudio Silva,0,270,80,0,70,0,75,43,0
Dwight Grant,100,0,0,0,140,0,125,62,0
Herbert Burns,100,90,0,0,0,0,50,5,0
Karl Roberson,0,180,80,0,70,0,150,73,0
Antonina Shevchenko,100,90,80,0,70,0,100,120,0
Cortney Casey,100,180,160,0,70,0,225,166,0
Ronnie Lawrence,100,0,80,0,0,0,25,69,0
Uriah Hall,600,0,80,0,70,0,225,71,75
Donald Cerrone,1000,540,560,0,0,0,350,375,225
Jessica Eye,0,0,160,0,140,0,250,131,50
Alan Baudot,0,0,0,0,0,0,75,19,0
Raulian Paiva,100,0,80,75,0,0,100,18,0
Brian Kelleher,200,270,240,0,0,0,175,64,0
Tony Kelley,100,0,80,0,0,0,50,51,0
Eddie Wineland,500,0,0,0,70,0,250,76,25
Danny Chavez,0,0,80,0,0,0,50,6,0
Gloria de Paula,0,0,80,0,0,0,75,17,0
Deron Winn,0,0,160,0,0,0,75,61,0
Jiri Prochazka,200,90,0,0,0,0,0,23,50
Joanna Jedrzejczyk,200,0,560,0,70,0,125,894,275
Ramazan Emeev,0,0,320,0,70,0,75,65,0
Zarrukh Adashev,0,0,80,0,0,0,75,41,0
Poliana Botelho,100,0,160,0,0,0,100,58,0
Askar Mozharov,0,0,0,0,0,0,25,0,0
Felice Herrig,0,180,160,0,70,0,125,19,0
Alex Da Silva,0,0,80,0,0,0,75,2,0
Niklas Stolze,0,0,0,0,0,0,75,4,0
Jeff Molina,100,0,80,0,70,0,0,119,0
Andreas Michailidis,0,0,80,0,0,0,75,8,0
Michel Pereira,100,90,240,0,70,0,50,180,0
Felipe Colares,0,0,80,0,70,0,100,12,0
Aleksandar Rakic,200,0,320,0,0,0,50,173,25
Louis Smolka,400,180,160,0,0,0,225,214,0
Frank Camacho,100,0,0,0,70,0,150,113,0
Alan Patrick,100,0,320,0,0,0,100,32,0
Ariane Carnelossi,100,90,0,0,0,0,50,5,0
Tristan Connelly,0,0,80,0,0,0,50,32,0
Gina Mazany,100,0,80,0,0,0,150,47,0
Sergey Khandozhko,100,0,80,0,0,0,25,41,0
Ike Villanueva,100,0,0,0,0,0,125,0,0
Cameron Else,0,0,0,0,0,0,50,0,0
Dean Barry,0,0,0,0,0,0,25,18,0
TJ Laramie,0,0,0,0,0,0,50,0,0
Miguel Baeza,200,90,0,0,0,0,75,56,0
Brandon Jenkins,0,0,0,0,0,0,50,0,0
Kevin Croom,0,0,0,0,0,0,75,22,0
Tecia Torres,0,90,560,0,0,0,150,365,0
Vinc Pichel,100,0,480,0,0,0,75,148,0
Aspen Ladd,300,0,80,0,0,0,75,41,50
Mickey Gall,0,450,80,0,0,0,125,22,0
Kay Hansen,0,90,0,0,0,0,75,15,0
Askar Askarov,0,0,240,0,0,0,25,47,0
Sara McMann,100,180,240,0,70,0,150,80,25
Aliaskhab Khizriev,0,90,0,0,0,0,0,11,0
Kazula Vargas,0,0,80,0,0,0,75,71,0
Luis Saldana,0,0,160,0,0,0,25,25,0
Bruno Souza,0,0,0,0,0,0,50,0,0
Mike Grundy,100,0,0,0,0,0,75,11,0
Timur Valiev,0,0,80,75,0,0,25,57,0
Marlon Moraes,200,90,0,0,140,0,150,23,100
Sabina Mazo,0,90,80,0,70,0,100,196,0
Kris Moutinho,0,0,0,0,0,0,50,0,0
Alex Oliveira,400,270,240,0,70,0,250,194,25
Colby Covington,300,180,560,0,0,0,75,314,150
Greg Hardy,300,0,80,0,0,0,125,123,0
Devonte Smith,200,0,0,0,0,0,75,50,0
Rongzhu,100,0,0,0,0,0,50,45,0
Ramiz Brahimaj,0,180,0,0,0,0,50,0,0
Micheal Gillmore,0,0,0,0,0,0,50,0,0
Alejandro Perez,300,90,240,0,70,0,100,104,0
Jesse Strader,0,0,0,0,0,0,50,0,0
Chas Skelly,200,360,160,0,0,0,75,17,0
Mark Striegl,0,0,0,0,0,0,50,0,0
Roxanne Modafferi,100,0,160,0,70,0,200,30,25
Fabio Cherant,0,0,0,0,0,0,75,1,0
Danilo Marques,0,90,80,0,0,0,50,13,0
Alexis Davis,0,90,400,0,140,0,150,92,25
Francis Ngannou,900,90,80,0,0,0,50,95,150
Rogerio Bontorin,0,0,0,0,70,0,75,5,0
Dakota Bush,0,0,0,0,0,0,50,0,0
Sijara Eubanks,100,0,320,0,0,0,125,163,0
Andre Ewell,0,0,80,0,210,0,125,103,0
Matt Sayles,0,90,0,0,0,0,75,57,0
Ryan Hall,0,90,320,0,0,0,25,79,0
Maki Pitolo,100,0,0,0,0,0,125,30,0
Mallory Martin,0,90,0,0,0,0,75,3,0
Chris Gruetzemacher,100,0,160,0,0,0,100,124,0
Sean Soriano,0,0,0,0,0,0,125,72,0
Ben Rothwell,400,270,80,0,70,0,200,72,25
Felicia Spencer,200,90,0,0,0,0,75,85,25
Leah Letson,0,0,0,0,70,0,25,16,0
Liana Jojua,0,90,0,0,0,0,75,0,0
Collin Anglin,0,0,0,0,0,0,50,0,0
Al Iaquinta,400,0,320,0,70,0,150,160,75
Jordan Williams,0,0,0,0,0,0,75,6,0
Gian Villante,400,0,0,0,210,0,275,54,0
John Allan,0,0,0,0,0,0,50,0,0
Shamil Gamzatov,0,0,0,0,70,0,25,35,0
Hu Yaozong,0,0,0,0,0,0,75,0,0
Laureano Staropoli,0,0,160,0,0,0,100,28,0
Khama Worthy,100,90,0,0,0,0,75,23,0
Zviad Lazishvili,0,0,0,0,0,0,25,0,0
Carlos Felipe,0,0,80,0,140,0,50,30,0
Randa Markos,0,90,320,0,140,0,250,166,0
Livinha Souza,0,90,80,0,70,0,75,20,0
Andrew Sanchez,100,0,320,0,0,0,125,73,0
Gaetano Pirrello,0,0,0,0,0,0,50,0,0
Bethe Correia,100,0,160,0,140,0,150,108,50
Johnny Eduardo,200,0,80,0,0,0,125,52,0
Nick Diaz,400,180,80,0,0,0,175,258,75
Martin Sano,0,0,0,0,0,0,25,0,0
Antonio Arroyo,0,0,0,0,0,0,75,32,0
Mike Rodriguez,200,0,0,0,0,0,125,81,0
Impa Kasanganay,0,90,80,0,0,0,50,14,0
Emily Whitmire,0,90,80,0,0,0,100,11,0
Sarah Alpar,0,0,0,0,0,0,50,0,0
David Zawada,0,90,0,0,0,0,100,0,0
Luigi Vendramini,100,0,0,0,0,0,75,11,0
Darren Stewart,200,90,80,0,70,0,175,64,0
Domingo Pilarte,0,0,0,0,0,0,50,0,0
Sasha Palatnikov,100,0,0,0,0,0,50,26,0
Roosevelt Roberts,0,180,160,0,0,0,75,63,0
Bea Malecki,0,90,80,0,0,0,25,37,0
Casey Kenney,0,90,320,0,0,0,75,98,0
Drako Rodriguez,0,0,0,0,0,0,50,2,0
Anderson Dos Santos,0,90,0,0,0,0,75,2,0
Jamey Simmons,0,0,0,0,0,0,50,0,0
Ashley Yoder,0,0,160,0,70,0,175,55,0
Ryan Benoit,200,0,0,0,70,0,150,33,0
Ian Heinisch,100,0,160,0,0,0,100,70,0
Marion Reneau,200,180,80,0,0,0,175,137,0
Jeremy Stephens,700,0,480,0,70,0,450,295,75
Conor McGregor,800,0,80,75,0,0,100,141,275
Carlos Condit,400,0,240,0,70,0,250,347,150
Omari Akhmedov,200,90,400,0,70,0,125,124,0
Jerome Rivera,0,0,0,0,0,0,100,3,0
Michel Prazeres,0,270,320,0,210,0,100,125,0
Yancy Medeiros,200,270,0,0,70,0,200,28,25
Julia Avila,100,90,80,0,0,0,25,33,0
Justin Jaynes,100,0,0,0,0,0,100,12,0
Dhiego Lima,100,0,80,0,140,0,175,55,0
Roque Martinez,0,0,0,0,0,0,75,0,0
Kanako Murata,0,0,80,0,0,0,25,0,0
Lara Procopio,0,0,80,0,0,0,50,0,0
Demian Maia,100,990,640,75,70,0,275,179,175
Walt Harris,600,0,0,0,0,0,225,104,25
Youssef Zalal,0,0,240,0,0,0,75,87,0
Victor Rodriguez,0,0,0,0,0,0,50,0,0
Jacare Souza,400,360,80,0,0,0,175,95,100
Kevin Aguilar,0,0,160,0,0,0,100,18,0
Gregor Gillespie,400,180,80,0,0,0,25,101,0
Maurice Greene,100,180,0,0,70,0,100,37,0
Christian Aguilera,100,0,0,0,0,0,50,6,0
Kai Kamaka,0,0,80,0,0,0,50,0,0
KB Bhullar,0,0,0,0,0,0,50,0,0
Luke Sanders,100,90,80,0,0,0,125,146,0
Stefan Sekulic,0,0,0,0,0,0,50,0,0
Justine Kish,0,0,240,0,0,0,100,68,0
Juan Espino,0,180,0,0,0,0,25,28,0
Luis Pena,100,90,160,0,70,0,75,101,0
Bartosz Fabinski,0,0,240,0,0,0,75,58,0
Anthony Birchak,100,0,0,0,70,0,100,38,0
Mike Perry,400,0,160,0,70,0,200,95,0
Hunter Azure,0,0,160,0,0,0,50,73,0
Jarjis Danho,100,0,0,0,0,0,25,8,0
Yorgan De Castro,100,0,0,0,0,0,75,0,0
Jordan Griffin,0,90,0,0,0,0,100,16,0
Thomas Almeida,400,0,80,0,0,0,125,93,25
Stipe Miocic,900,0,400,0,0,0,100,327,300
Tyron Woodley,500,90,80,75,70,0,150,136,175
Abu Azaitar,0,0,80,0,0,0,25,29,0
Gustavo Lopez,0,90,0,0,0,0,50,9,0
Ray Rodriguez,0,0,0,0,0,0,50,0,0
Megan Anderson,200,90,0,0,0,0,75,10,25
Joseph Benavidez,500,90,640,0,70,0,150,331,100
Jordan Espinosa,0,0,160,0,0,0,100,113,0
Aalon Cruz,0,0,0,0,0,0,50,0,0
Jimmie Rivera,100,0,400,0,70,0,100,132,25
Vince Cachero,0,0,0,0,0,0,50,0,0
Shana Dobson,200,0,0,0,0,0,100,12,0
Alistair Overeem,900,0,160,75,0,0,200,289,200
Martin Day,0,0,0,0,0,0,100,45,0
Antonio Carlos Junior,0,450,160,0,0,0,125,88,0
Nik Lentz,300,180,560,0,140,0,225,271,0
Vinicius Moreira,0,0,0,0,0,0,100,0,0
Tom Breese,400,0,80,0,0,0,75,81,0
Markus Perez,0,180,0,0,0,0,125,2,0
Jacob Kilburn,0,0,0,0,0,0,50,0,0
Anthony Pettis,300,360,240,0,70,0,225,108,150
Vanessa Melo,0,0,80,0,0,0,75,12,0
Sarah Moras,100,90,80,0,0,0,150,28,0
Carlton Minus,0,0,0,0,0,0,50,0,0
Junior Dos Santos,1000,0,400,0,0,0,200,534,300
Peter Barrett,0,0,0,0,0,0,50,0,0
Jose Quinonez,0,90,320,0,0,0,100,92,0
Matt Wiman,200,270,400,0,0,0,200,170,0
Spike Carlyle,100,0,0,0,0,0,50,18,0
Rachael Ostovich,0,90,0,0,0,0,75,1,0
Alan Jouban,400,0,320,0,0,0,125,243,0
Paul Felder,400,90,160,0,140,0,150,101,50
Geraldo de Freitas,0,0,80,0,0,0,50,55,0
Claudia Gadelha,0,90,320,0,140,0,125,109,25
Bevon Lewis,0,0,80,0,0,0,75,38,0
Anderson Silva,1100,270,240,0,0,0,175,294,375
Eduardo Garagorri,0,0,80,0,0,0,50,37,0
Jack Marshman,100,0,80,0,70,0,125,6,0
Cole Williams,0,0,0,0,0,0,50,0,0
Khabib Nurmagomedov,200,450,480,0,0,0,0,410,100
Justin Ledet,0,90,80,0,70,0,100,54,0
Liliya Shakirova,0,0,0,0,0,0,25,1,0
Stefan Struve,500,540,80,75,0,0,275,102,50
Alexander Yakovlev,100,90,80,0,0,0,150,17,0
James Krause,300,180,320,0,0,0,100,219,0
John Phillips,100,0,0,0,0,0,125,4,0
Gadzhimurad Antigulov,0,180,0,0,0,0,100,10,0
Ali AlQaisi,0,0,0,0,0,0,50,14,0
Germaine de Randamie,300,90,160,0,70,0,50,90,75
Dequan Townsend,0,0,0,0,0,0,100,0,0
Jessin Ayari,0,0,0,0,70,0,75,23,0
Diego Sanchez,600,0,720,0,210,0,325,330,25
Jeff Hughes,0,0,0,0,0,0,75,0,0
Khadis Ibragimov,0,0,0,0,0,0,100,10,0
Mirsad Bektic,200,90,80,75,70,0,100,112,0
Mara Romero Borella,0,90,0,0,70,0,125,18,0
Irwin Rivera,0,0,0,0,70,0,50,0,0
Brok Weaver,0,0,0,0,0,0,50,0,0
Anthony Ivy,0,0,0,0,0,0,50,0,0
Zelim Imadaev,0,0,0,0,0,0,75,17,0
Cole Smith,0,0,80,0,0,0,50,23,0
Ricardo Lamas,400,270,320,0,0,0,150,149,50
Austin Springer,0,0,0,0,0,0,25,0,0
Hannah Cifers,0,0,80,0,70,0,125,56,0
Daniel Cormier,300,360,240,0,70,0,75,270,225
John Dodson,500,0,240,0,70,0,175,123,75
Frankie Saenz,0,0,240,0,140,0,125,116,0
Rogerio Nogueira,400,0,80,0,70,0,175,107,25
Fabricio Werdum,400,360,320,0,0,0,150,321,175
Peter Sobotta,100,90,160,0,0,0,150,80,0
Raphael Pessoa,0,0,80,0,0,0,50,5,0
Joe Duffy,100,180,80,0,0,0,100,35,0
Nad Narimani,0,0,160,0,0,0,50,51,0
Brett Johns,0,180,240,0,0,0,50,39,0
Davi Ramos,0,270,80,0,0,0,75,36,0
Chris Fishgold,0,90,0,0,0,0,75,7,0
Paige VanZant,200,180,80,0,0,0,100,126,50
Danny Henry,0,90,80,0,0,0,50,28,0
Roman Bogatov,0,0,0,0,0,0,25,0,0
Lyman Good,300,0,0,0,0,0,75,82,0
Brianna Fortino,0,0,80,0,0,0,25,49,0
Max Rohskopf,0,0,0,0,0,0,25,0,0
Mark De La Rosa,0,90,0,0,70,0,125,17,0
Anthony Rocco Martin,100,270,400,0,0,0,150,114,0
Charles Byrd,0,90,0,0,0,0,75,25,0
Jussier Formiga,0,270,480,0,0,0,175,21,0
Evan Dunham,100,90,400,0,210,0,225,502,0
Ray Borg,0,180,400,0,0,0,125,86,25
Yoel Romero,700,0,80,0,70,0,100,122,125
Aleksei Kunchenko,0,0,160,0,0,0,50,67,0
Saparbeg Safarov,0,0,80,0,0,0,75,59,0
Gabriel Silva,0,0,0,0,0,0,50,0,0
Ismail Naurdiev,0,0,160,0,0,0,50,122,0
Magomed Mustafaev,200,0,0,0,0,0,50,18,0
Ben Sosoli,0,0,0,0,0,0,25,0,0
Callan Potter,0,0,80,0,0,0,50,0,0
Emil Meek,0,0,80,0,0,0,75,33,0
Corey Anderson,300,0,560,0,0,0,125,362,25
Juan Adams,100,0,0,0,0,0,75,85,0
Darko Stosic,100,0,0,0,0,0,75,15,0
Dooho Choi,300,0,0,0,0,0,75,22,25
Pingyuan Liu,0,0,80,0,70,0,50,13,0
Dong Hyun Ma,100,0,80,0,70,0,125,32,0
Suman Mokhtarian,0,0,0,0,0,0,50,0,0
Urijah Faber,100,540,320,0,0,0,175,233,150
Ben Saunders,300,270,160,0,70,0,250,132,0
Daniel Teymur,0,0,80,0,0,0,100,22,0
Oskar Piechota,100,0,80,0,0,0,75,52,0
Thiago Alves,700,90,400,0,70,0,300,316,50
Trevor Smith,0,0,320,0,70,0,175,139,0
Sergio Moraes,100,270,160,0,140,0,125,15,0
Isabela de Padua,0,0,0,0,0,0,25,0,0
Renan Barao,200,270,320,0,0,0,200,185,150
Zabit Magomedsharipov,0,270,240,0,0,0,0,147,0
Klidson Abreu,0,0,80,0,0,0,50,8,0
Rustam Khabilov,100,0,560,0,70,0,75,83,25
Grigory Popov,0,0,0,0,0,0,50,5,0
Chance Rencountre,0,90,80,0,0,0,50,4,0
Ben Askren,0,90,0,0,0,0,50,0,25
Stevie Ray,200,0,160,150,70,0,100,142,0
Alex White,200,0,160,0,0,0,150,122,0
Enrique Barzola,0,0,400,0,70,0,75,126,0
Aleksandra Albu,0,90,80,0,0,0,50,10,0
Joe Lauzon,500,630,80,0,70,0,300,84,0
Manny Bermudez,0,270,0,0,0,0,50,21,0
Kyle Bochniak,0,0,80,0,70,0,125,0,0
Boston Salmon,0,0,0,0,0,0,50,0,0
Daniel Spitz,100,0,0,0,0,0,75,5,0
James Vick,200,270,320,0,0,0,125,162,25
Thomas Gifford,0,0,0,0,0,0,50,0,0
Lauren Mueller,0,0,80,0,0,0,75,0,0
Hector Aldana,0,0,0,0,0,0,75,7,0
Luke Jumeau,0,0,160,0,0,0,50,0,0
Rostem Akman,0,0,0,0,0,0,50,0,0
Nadia Kassem,0,0,80,0,0,0,50,7,0
Danilo Belluardo,0,0,0,0,0,0,50,0,0
Siyar Bahadurzada,300,90,0,0,0,0,100,98,0
Nohelin Hernandez,0,0,0,0,0,0,50,12,0
Martin Bravo,100,0,0,0,0,0,75,64,0
Marco Polo Reyes,300,0,0,0,70,0,100,82,0
Sergio Pettis,0,0,640,0,70,0,125,259,25
Carlos Huachin,0,0,0,0,0,0,50,0,0
Marcos Mariano,0,0,0,0,0,0,50,0,0
Ryan MacDonald,0,0,0,0,0,0,50,0,0
Kyle Prepolec,0,0,0,0,0,0,50,0,0
Mairbek Taisumov,500,0,160,0,0,0,50,63,0
Teemu Packalen,0,90,0,0,0,0,75,6,0
Don Madge,100,0,80,0,0,0,0,27,0
Nordine Taleb,200,0,320,0,70,0,125,166,0
Derrick Krantz,0,0,0,0,0,0,50,0,0
Andre Soukhamthath,100,0,80,0,0,0,125,8,0
Jodie Esquibel,0,0,0,0,0,0,100,0,0
Liz Carmouche,100,0,240,0,70,0,125,82,50
Bobby Moffett,0,0,0,0,0,0,50,7,0
Humberto Bandenay,100,0,0,0,0,0,75,4,0
Salim Touahri,0,0,0,0,0,0,75,0,0
Olivier Aubin-Mercier,100,360,80,0,70,0,125,71,0
Cristiane Justino,400,0,160,0,0,0,25,322,125
Yoshinori Horie,0,0,0,0,0,0,25,0,0
Sarah Frota,0,0,0,0,0,0,50,9,0
Erik Koch,200,90,160,0,0,0,125,49,0
Kyle Stewart,0,0,0,0,0,0,50,0,0
Jin Soo Son,0,0,0,0,0,0,50,0,0
Cezar Ferreira,0,270,320,0,140,0,150,38,0
Nicco Montano,0,0,80,0,0,0,25,54,25
Sheymon Moraes,0,0,80,0,70,0,75,7,0
Gilbert Melendez,0,0,80,0,0,0,150,60,50
Dan Moret,0,0,0,0,0,0,75,0,0
Junior Albini,100,0,0,0,0,0,100,2,0
Allen Crowder,0,0,0,0,0,0,50,0,0
Syuri Kondo,0,0,0,0,70,0,75,40,0
Eric Spicely,0,180,0,0,0,0,125,8,0
Jimi Manuwa,300,0,80,0,0,0,150,65,25
