name,KO/TKO,Submission,Unanimous Decision,Majority Decision,Split Decision,No Contest,Losses,StrikeBonus,5roundBonus,Value,FighterId
John Hathaway,100,0,400,0,70,0,50,226,25,771,140003541
Kai Kara-France,200,0,320,0,70,0,100,230,50,770,140000059
Quinton Jackson,300,0,320,0,70,0,125,105,100,770,140003850
TJ Grant,300,90,240,0,70,0,75,144,0,769,140004299
Brian Ortega,300,270,80,0,0,0,75,67,125,767,140000712
Nathaniel Wood,0,270,320,0,0,0,50,225,0,765,140000191
Chris Gutierrez,300,0,160,0,140,0,50,215,0,765,140000200
Kyoji Horiguchi,200,0,400,0,0,0,25,165,25,765,140004562
Mike Pierce,300,90,320,0,70,0,125,109,0,764,140004772
Jairzinho Rozenstruik,700,0,0,0,0,0,125,63,125,763,140000034
Rustam Khabilov,100,0,560,0,70,0,75,83,25,763,140000101
Julianna Pena,200,180,240,0,0,0,75,142,75,762,
Ronda Rousey,300,270,0,0,0,0,50,42,200,762,140004796
Thiago Tavares,100,450,320,0,0,0,175,66,0,761,140004589
Nate Quarry,500,0,160,0,0,0,75,151,25,761,140003782
Omari Akhmedov,200,90,400,0,70,0,125,124,0,759,140000163
Chael Sonnen,0,180,400,0,0,0,175,253,100,758,140004366
Marcus Davis,300,360,80,0,70,0,150,95,0,755,140003615
Ian Machado Garry,300,0,240,0,0,0,0,212,0,752,140001217
Dustin Ortiz,400,0,80,0,210,0,150,211,0,751,140000020
Myles Jury,300,90,240,0,70,0,100,149,0,749,140000087
Movsar Evloev,0,0,480,0,70,0,0,199,0,749,140000277
Gillian Robertson,100,630,80,0,0,0,150,88,0,748,140000108
Aleksei Oleinik,100,630,0,0,70,0,200,72,75,747,140000288
Dricus Du Plessis,400,90,80,0,0,0,0,174,0,744,140001047
Montel Jackson,200,90,320,0,0,0,50,180,0,740,140000253
Jorge Rivera,500,0,160,0,70,0,175,185,0,740,140003176
Gregor Gillespie,400,180,80,0,0,0,25,101,0,736,140000022
Cole Miller,100,630,160,0,0,0,225,71,0,736,140004074
Germaine de Randamie,300,90,160,0,70,0,50,90,75,735,140000471
Manon Fiorot,200,0,320,0,0,0,0,214,0,734,140001096
Anthony Rocco Martin,100,270,400,0,0,0,150,114,0,734,140000161
Johnny Walker,500,90,80,0,0,0,100,112,50,732,140000043
Pedro Rizzo,600,0,80,0,70,0,125,31,75,731,140002324
Louis Smolka,400,180,160,0,0,0,225,214,0,729,140000153
Khalil Rountree Jr.,600,0,80,0,70,0,125,102,0,727,140000263
Royce Gracie,100,630,0,0,0,0,25,17,0,722,140002911
Nasrat Haqparast,100,0,480,0,0,0,100,240,0,720,140000520
Ben Rothwell,400,270,80,0,70,0,200,72,25,717,140000166
John Moraga,200,270,160,0,70,0,150,141,25,716,140000730
Calvin Kattar,400,0,240,0,0,0,125,76,125,716,140000396
Ricky Simon,100,270,240,0,70,0,75,81,25,711,140000070
Serghei Spivac,300,180,80,75,0,0,100,125,50,710,140000324
Tom Aspinall,400,180,0,0,0,0,25,78,75,708,140000892
Amanda Lemos,300,180,80,0,70,0,75,78,75,708,140000886
Dustin Jacoby,400,0,240,0,0,0,100,168,0,708,140000953
Jake Ellenberger,500,90,160,0,70,0,275,111,50,706,140000757
Andre Fili,300,0,320,0,210,0,225,100,0,705,140000088
Thiago Silva,600,0,80,0,0,0,75,99,0,704,140004006
Alejandro Perez,300,90,240,0,70,0,100,104,0,704,140000133
Alan Belcher,400,270,0,0,70,0,150,112,0,702,140004211
Karo Parisyan,100,90,400,0,70,0,100,140,0,700,140004370
Billy Quarantillo,300,90,160,0,0,0,75,221,0,696,140000488
Charles Jourdain,200,180,160,0,0,0,125,280,0,695,140000358
Geoff Neal,400,90,80,0,70,0,75,100,25,690,140000003
Khamzat Chimaev,200,270,80,0,0,0,0,111,25,686,140000941
Ilir Latifi,300,180,240,0,70,0,175,69,0,684,140000538
Kyung Ho Kang,0,360,80,0,210,0,75,108,0,683,140000057
